categoria	referencia_interna	nombre 	precio	url_produicto	url_imagen	descripción	gastos de envío	disponibilidad	marca	ean	garantía	precio_tachado	referencia_modelo	divisa	referencia_fabricante
Destacados	ra-jbconi2az	Jabón Comunión Niño P.	 1,00   	https://www.regalonatural.com/92-jabon-comunion-nino-g.html	https://www.regalonatural.com/img/p/3/4/2/342-large_default.jpg	Pequeño jabón de comunión de niño.	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Destacados	ra-jbconi3rs	Jabón Comunión Niña	 2,00   	https://www.regalonatural.com/93-jabon-comunion-nino-g.html	https://www.regalonatural.com/img/p/3/4/6/346-large_default.jpg	Pequeño jabón de comunión de niña. Especial para un detalle de comunión.	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Dtos. Comuniones 5%	ra-vemaamno	Vela Narama	 9,95   	https://www.regalonatural.com/94-vela-narama.html	https://www.regalonatural.com/img/p/3/5/2/352-large_default.jpg	Velas personalizada Narama con flores de cera.	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Un Vistazo	ra-jbtachnaco	Jabon Tarta Choco b/n	 3,50   	https://www.regalonatural.com/95-jabon-tarta-choco-bn.html	https://www.regalonatural.com/img/p/3/6/0/360-large_default.jpg	Nuestra espectacular tarta de chocolate blanco y nego pero..en jabón!!!	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Dtos. Comuniones 5%	ra-vetomano	Vela Primot	 8,90   	https://www.regalonatural.com/96-vela-cuadrada-primot.html	https://www.regalonatural.com/img/p/3/6/6/366-large_default.jpg	Bonita vela cuadrada con flores de cera	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Tarta	ra-jbtachneme	Jabon Tarta Choco	 3,50   	https://www.regalonatural.com/97-jabon-tarta-choco.html	https://www.regalonatural.com/img/p/3/6/9/369-large_default.jpg	Nuestra espectacular tarta de chocolate nego pero..en jabón!!!	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Dtos. Comuniones 5%	ra-vegiflono	Vela Floraz	 10,50   	https://www.regalonatural.com/98-vela-floraz.html	https://www.regalonatural.com/img/p/3/7/3/373-large_default.jpg	Vela con flores giradas azules	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Dtos. Comuniones 5%	ra-vemeflro	Vela Roreta	 10,50   	https://www.regalonatural.com/99-vela-roreta.html	https://www.regalonatural.com/img/p/3/7/6/376-large_default.jpg	Vela con flores giradas rojas	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Dtos. Comuniones 5%	ra-vemeazbl	Vela Zulema	 10,50   	https://www.regalonatural.com/100-vela-zulema.html	https://www.regalonatural.com/img/p/3/8/5/385-large_default.jpg	Vela azul con flores blancas giradas	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Ofertas Contrarreloj	ra-veflover01	Vela Verderol	 6,98   	https://www.regalonatural.com/102-vela-verderol.html	https://www.regalonatural.com/img/p/4/3/6/436-large_default.jpg	Preciosa vela mediana con flores verdes	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Velas Bola	ra-vebona01	Vela Bola Naranja	 2,50   	https://www.regalonatural.com/104-vela-bola-naranja.html	https://www.regalonatural.com/img/p/4/3/9/439-large_default.jpg	Preciosa vela bola naranja con flores de cera	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Un Vistazo	ra-veboam01	Vela Bola Amarilla	 2,50   	https://www.regalonatural.com/105-vela-bola-amarilla.html	https://www.regalonatural.com/img/p/4/4/5/445-large_default.jpg	Preciosa vela bola amarilla con flores de cera. Combínalo con la fragancia que más te guste	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Velas Bola	ra-veboblro01	Vela Bola Blanca-Roja	 2,50   	https://www.regalonatural.com/106-vela-bola-blanca-roja.html	https://www.regalonatural.com/img/p/4/5/1/451-large_default.jpg	Preciosa vela bola blanca con flores de cera rojas	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Velas Cala	ra-vecamano	Vela Cala Cafe con Leche	 3,00   	https://www.regalonatural.com/107-vela-cala-cafe-con-leche.html	https://www.regalonatural.com/img/p/4/5/5/455-large_default.jpg	Preciosa vela con forma de cala y color cafe con leche	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Ofertas Contrarreloj	ra-faojca01	Fanal Ojiva Calabaza	 20,00   	https://www.regalonatural.com/108-fanal-ojiva-calabaza.html	https://www.regalonatural.com/img/p/4/5/6/456-large_default.jpg	Bonito fanal de ojiva color calabaza.  Obten una calida luz haciendo mas acogedoras tus estancias.	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Ofertas Contrarreloj	ra-facuca01	Fanal Cuadrado Calabaza	 20,00   	https://www.regalonatural.com/109-fanal-cuadrado-calabaza.html	https://www.regalonatural.com/img/p/4/6/6/466-large_default.jpg	Bonito fanal cuadrado color calabaza. Obten una calida luz haciendo más acogedoras tus estancias.	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Conjuntos Velas y Jabones	cjn-vegiflono01	Conj. Velas Floraz	 20,00   	https://www.regalonatural.com/110-conjunto-velas-floraz.html	https://www.regalonatural.com/img/p/4/9/1/491-large_default.jpg	Precioso conjunto de velas con distintos tamaños, adornadas con flores de cera azules	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
