categoria	referencia_interna	nombre 	precio	url_produicto	url_imagen	descripción	gastos de envío	disponibilidad	marca	ean	garantía	precio_tachado	referencia_modelo	divisa	referencia_fabricante
Regalos, flores, gastronomía	ra-jbcorobltrre01	Jabon Corazon Lleno de Rosas	 4,00   	https://www.regalonatural.com/20-jabon-corazon-lleno.html	https://www.regalonatural.com/img/p/1/3/3/133-large_default.jpg	Precioso jabon con forma de corazón transparente que en su interior tiene rosas rojas de cera	6	en stock	RegaloNatural	0	n/a	0	ra-jbcorobltrre01	EUR	Ralucart
Regalos, flores, gastronomía	ra-jbneazbl	Jabon Nenufar Blanco-Azul	 2,98   	https://www.regalonatural.com/21-jabon-nenufar-blanco-azul.html	https://www.regalonatural.com/img/p/4/2/8/428-large_default.jpg	Fantastico jabon con forma de nenufar en color blanco y azul	6	en stock	RegaloNatural	0	n/a	0	ra-jbneazbl	EUR	Ralucart
Regalos, flores, gastronomía	ra-jbnefubl	Jabon Nenufar Fucsia-Blanco	 2,98   	https://www.regalonatural.com/22-jabon-nenufar-blanco-fucsia.html	https://www.regalonatural.com/img/p/1/4/5/145-large_default.jpg	Bonito jabón con forma de nenúfar blanco y fucsia	6	en stock	RegaloNatural	0	n/a	0	ra-jbnefubl	EUR	Ralucart
Regalos, flores, gastronomía	ra-jbnenabltl	Jabon Nenufar Blanco-Naranja-Tl	 2,98   	https://www.regalonatural.com/23-jabon-nenufar-blanco-naranja-tr.html	https://www.regalonatural.com/img/p/4/1/9/419-large_default.jpg	Fantástico jabón con forma de nenufar en colores blanco y naranja	6	en stock	RegaloNatural	0	n/a	0	ra-jbnenabltl	EUR	Ralucart
Regalos, flores, gastronomía	ra-jbnerobltl	Jabon Nenufar Rojo-Blanco-Tl	 2,98   	https://www.regalonatural.com/24-jabon-nenufar-rojo-blanco-tl.html	https://www.regalonatural.com/img/p/1/5/1/151-large_default.jpg	Estupendo jabón con forma de Nenúfar Rojo y Blanco	6	en stock	RegaloNatural	0	n/a	0	ra-jbnerobltl	EUR	Ralucart
Regalos, flores, gastronomía	ra-jbnersbl	Jabon Nenufar Rosa-Blanco	 2,98   	https://www.regalonatural.com/25-jabon-nenufar-rosa-blanco.html	https://www.regalonatural.com/img/p/4/2/1/421-large_default.jpg	Precioso jabón con forma de nenufar en colores blanco y rosa	6	en stock	RegaloNatural	0	n/a	0	ra-jbnersbl	EUR	Ralucart
Regalos, flores, gastronomía	ra-jbnevebl	Jabon Nenufar Blanco-Verde	 2,98   	https://www.regalonatural.com/26-jabon-nenufar-blanco-verde.html	https://www.regalonatural.com/img/p/4/2/5/425-large_default.jpg	Precioso jabón con forma de nenufar color verde y blanco	6	en stock	RegaloNatural	0	n/a	0	ra-jbnevebl	EUR	Ralucart
Regalos, flores, gastronomía	ra-jbnevemt	Jabon Nenufar Verde Motivos	 2,98   	https://www.regalonatural.com/27-jabon-nenufar-verde-motivos.html	https://www.regalonatural.com/img/p/1/5/7/157-large_default.jpg	Bonito jabón con forma de nenúfar en color verde con motivos negros	6	en stock	RegaloNatural	0	n/a	0	ra-jbnevemt	EUR	Ralucart
Regalos, flores, gastronomía	ra-jbpivemt	Jabon Piñón Verde Motivos	 2,98   	https://www.regalonatural.com/28-jabon-pinon-verde-motivos.html	https://www.regalonatural.com/img/p/1/6/1/161-large_default.jpg	Fantástico jabon con forma de piñón de color verde	6	en stock	RegaloNatural	0	n/a	0	ra-jbpivemt	EUR	Ralucart
Regalos, flores, gastronomía	ra-jbrorobltl	Jabon Sho Yu  Blanco-Rojo	 2,98   	https://www.regalonatural.com/29-jabon-sho-yu-blanco-rojo.html	https://www.regalonatural.com/img/p/1/6/3/163-large_default.jpg	Jabón con forma de flor Sho Yu roja y blanca	6	en stock	RegaloNatural	0	n/a	0	ra-jbrorobltl	EUR	Ralucart
