"Product ID";Image;Name;Reference;Category;"Base price";"Final price";Quantity;Status;Position
110;https://www.regalonatural.com/491/conjunto-velas-floraz.jpg;"Conjunto Velas Floraz";;Inicio;20.000000;20;100;0;80
109;https://www.regalonatural.com/466/fanal-cuadrado-calabaza.jpg;"Fanal Cuadrado Calabaza";ra-facuca01;Inicio;20.000000;20;100;0;79
108;https://www.regalonatural.com/456/fanal-ojiva-calabaza.jpg;"Fanal Ojiva Calabaza";ra-faojca01;Inicio;20.000000;20;100;0;78
107;https://www.regalonatural.com/455/vela-cala-cafe-con-leche.jpg;"Vela Cala Cafe con Leche";ra-vecamano;Inicio;3.000000;3;100;0;77
106;https://www.regalonatural.com/451/vela-bola-blanca-roja.jpg;"Vela Bola Blanca-Roja";ra-veboblro01;Inicio;2.500000;2.5;100;0;76
105;https://www.regalonatural.com/445/vela-bola-amarilla.jpg;"Vela Bola Amarilla";ra-veboam01;Inicio;2.500000;2.5;100;0;75
104;https://www.regalonatural.com/439/vela-bola-naranja.jpg;"Vela Bola Naranja";ra-vebona01;Inicio;2.500000;2.5;100;0;74
103;https://www.regalonatural.com/438/vela-marila.jpg;"Vela Marila";ra-vegiflam01;Inicio;10.500000;9.98;100;0;73
102;https://www.regalonatural.com/436/vela-verderol.jpg;"Vela Verderol";ra-veflover01;Inicio;6.000000;6;100;0;72
101;https://www.regalonatural.com//ambientador-corazon.jpg;"Ambientador Corazón";AMB-Cor01;Inicio;2.000000;2;106;0;71
100;https://www.regalonatural.com/386/vela-zulema.jpg;"Vela Zulema";ra-vemeazbl;Inicio;10.500000;9.98;100;0;70
99;https://www.regalonatural.com/376/vela-roreta.jpg;"Vela Roreta";ra-vemeflro;Inicio;10.500000;9.98;99;0;69
98;https://www.regalonatural.com/373/vela-floraz.jpg;"Vela Floraz";ra-vegiflono;Inicio;10.500000;9.98;300;0;68
97;https://www.regalonatural.com/370/jabon-tarta-choco.jpg;"Jabon Tarta Choco";ra-jbtachnano;Inicio;3.500000;3.5;100;0;67
96;https://www.regalonatural.com/366/vela-cuadrada-primot.jpg;"Vela Primot";ra-vetomano;Inicio;8.900000;8.46;100;0;66
95;https://www.regalonatural.com/360/jabon-tarta-kiwi.jpg;"Jabon Tarta Choco";ra-jbtachnano;Inicio;3.500000;3.5;99;0;65
94;https://www.regalonatural.com/353/vela-narama.jpg;"Vela Narama";ra-vemaamno;Inicio;9.950000;9.45;99;0;64
93;https://www.regalonatural.com/354/jabon-comunion-nino-g.jpg;"Jabón Comunión Niña";ra-jbconi3rs;Inicio;2.000000;1.8;100;0;63
92;https://www.regalonatural.com/343/jabon-comunion-nino-g.jpg;"Jabón Comunión Niño P.";ra-jbconi2az;Inicio;1.000000;0.9;100;0;62
91;https://www.regalonatural.com/355/jabon-comunion-nino-g.jpg;"Jabón Comunión Niño G.";ra-jbconi0az;Inicio;2.500000;2.25;79;0;61
89;https://www.regalonatural.com/332/jabon-bebes-cesta-azul.jpg;"Jabón Bebé Durmiendo Rosa";ra-jabedursno;Inicio;1.500000;1.5;100;0;60
88;https://www.regalonatural.com/326/jabon-corazon-caricias.jpg;"Jabón Corazón Mulflor";ra-jbcoflrono;Inicio;2.500000;2.5;100;0;59
87;https://www.regalonatural.com/322/jabon-bebes-cesta-azul.jpg;"Jabón Carrito Rosa";ra-jacarona;Inicio;1.990000;1.99;100;0;58
86;https://www.regalonatural.com/316/jabon-bebes-cesta-azul.jpg;"Jabón Bebé Durmiendo Blanco";ra-jabedublrs;Inicio;1.500000;1.5;60;0;57
85;https://www.regalonatural.com/311/jabon-bebes-cesta-azul.jpg;"Jabón Zapatillas Azul";ra-jbzarsno;Inicio;4.980000;4.98;100;0;56
84;https://www.regalonatural.com/302/jabon-bebes-cesta-azul.jpg;"Jabón Zapatillas Rosa";ra-jbzarsno;Inicio;4.980000;4.98;69;0;55
83;https://www.regalonatural.com/294/jabon-bebes-cesta-azul.jpg;"Jabón Zapatillas Verde";ra-jbzaveno;Inicio;4.980000;4.98;99;0;54
82;https://www.regalonatural.com/290/jabon-bebes-cesta-azul.jpg;"Jabón Bebé Arropado Rosa";ra-jbbe2rs;Inicio;2.980000;2.98;100;0;53
81;https://www.regalonatural.com/285/vela-cala-azul.jpg;"Vela Cala Rosa";ra-vecarsno;Inicio;2.980000;2.98;100;0;52
80;https://www.regalonatural.com/280/vela-dima.jpg;"Vela Personalizada Dima";ra-veesdima;Inicio;8.900000;8.46;99;0;51
79;https://www.regalonatural.com/278/vela-con-flores-de-cera.jpg;"Velas con Flores de Cera - Sesemo";ra-vesesemo;Inicio;8.900000;8.46;100;0;50
78;https://www.regalonatural.com/270/vela-gota-blanca.jpg;"Vela Gota Blanca";ra-vegobl;Inicio;2.980000;2.98;1000;0;49
77;https://www.regalonatural.com/265/vela-personalizadas.jpg;"Vela Personalizada";ra-vefopebl;Inicio;7.000000;6.65;93;0;48
76;https://www.regalonatural.com/263/jabon-mini-huevos-de-pascua-6x.jpg;"Regalo Jabón de Pascua";;Inicio;7.000000;7;100;0;47
75;https://www.regalonatural.com/261/jabon-mini-huevos-de-pascua-6x.jpg;"(6x) Jabón Mini Huevos de Pascua";;Inicio;1.200000;1.2;99;0;46
74;https://www.regalonatural.com/260/jabon-conejo-blanco.jpg;"Jabón Conejo Blanco";;Inicio;2.980000;2.98;100;0;45
73;https://www.regalonatural.com/258/vela-gota-roja.jpg;"Vela Gota Roja";;Inicio;2.980000;2.98;1000;0;44
72;https://www.regalonatural.com/254/pack-jabones-bebe-cesta.jpg;"Pack 25 Jabones Bebé Cesta";"Pack 25 Bebes Cesta Rosa";Inicio;24.500000;24.5;100;0;43
71;https://www.regalonatural.com/249/vela-con-flores-de-cera.jpg;"Velas Triples con Flores de Cera";ra-ve3bl01;Inicio;15.000000;14.25;100;0;42
69;https://www.regalonatural.com/245/vela-corazon-rojo.jpg;"Vela Sho Yu Roja";ra-veflsyro;Inicio;2.980000;2.98;100;0;41
68;https://www.regalonatural.com/240/vela-corazon-rojo.jpg;"Vela Corazón Azul";ra-vecoro01;Inicio;2.980000;2.98;100;0;40
